capitalized,word_shape,contains_digit,prefixes,suffixes,POS,prev_word,prev_POS,next_word,next_POS,dep_tag,head_text,is_chunk,in_league,in_club,in_home,in_player,in_coach,in_nation,in_continent,token,NER
1,Xxxxx,0,"['R', 'Ro', 'Rom', 'Rome']","['o', 'eo', 'meo', 'omeo']",PROPN,agree,VERB,Lavia,PROPN,compound,Lavia,B,0,0,0,0,0,0,0,Romeo,B-Player
1,Xxxxx,0,"['L', 'La', 'Lav', 'Lavi']","['a', 'ia', 'via', 'avia']",PROPN,Romeo,PROPN,fee,NOUN,compound,fee,I,0,0,0,0,0,0,0,Lavia,I-Player
0,xxx,0,"['f', 'fe']","['e', 'ee']",NOUN,Lavia,PROPN,with,ADP,dobj,agree,O,0,0,0,0,0,0,0,fee,O
0,xxxx,0,"['w', 'wi', 'wit']","['h', 'th', 'ith']",ADP,fee,NOUN,Southampton,PROPN,prep,fee,O,0,0,0,0,0,0,0,with,O
1,Xxxxxxxxxxx,0,"['S', 'So', 'Sou', 'Sout']","['n', 'on', 'ton', 'pton']",PROPN,with,ADP,,,pobj,with,B,0,1,0,0,0,0,0,Southampton,B-Club
1,Xxxxx,0,"['H', 'Ha', 'Har', 'Harr']","['y', 'ry', 'rry', 'arry']",PROPN,,,Maguire,PROPN,compound,Maguire,B,0,0,0,1,0,0,0,Harry,B-Player
1,Xxxxxxx,0,"['M', 'Ma', 'Mag', 'Magu']","['e', 're', 'ire', 'uire']",PROPN,Harry,PROPN,'s,PART,poss,collapses,I,0,0,0,1,0,0,0,Maguire,I-Player
0,'x,0,"[""'""]",['s'],PART,Maguire,PROPN,proposed,VERB,case,Maguire,I,0,0,0,0,0,0,0,'s,O
0,xxxxxxxx,0,"['p', 'pr', 'pro', 'prop']","['d', 'ed', 'sed', 'osed']",VERB,'s,PART,West,PROPN,amod,collapses,O,0,0,0,0,0,0,0,proposed,O
1,Xxxx,0,"['W', 'We', 'Wes']","['t', 'st', 'est']",PROPN,proposed,VERB,Ham,PROPN,compound,Ham,B,0,1,0,0,0,0,0,West,B-Club
1,Xxx,0,"['H', 'Ha']","['m', 'am']",PROPN,West,PROPN,transfer,NOUN,compound,transfer,I,0,1,0,0,0,0,0,Ham,I-Club
0,xxxxxxxx,0,"['t', 'tr', 'tra', 'tran']","['r', 'er', 'fer', 'sfer']",NOUN,Ham,PROPN,collapses,NOUN,compound,collapses,O,0,0,0,0,0,0,0,transfer,O
0,xxxxxxxxx,0,"['c', 'co', 'col', 'coll']","['s', 'es', 'ses', 'pses']",NOUN,transfer,NOUN,,,ROOT,collapses,O,0,0,0,0,0,0,0,collapses,O
1,Xxxxxxxxxxx,0,"['S', 'So', 'Sou', 'Sout']","['n', 'on', 'ton', 'pton']",PROPN,,,director,NOUN,compound,director,B,0,1,0,0,0,0,0,Southampton,B-Club
0,xxxxxxxx,0,"['d', 'di', 'dir', 'dire']","['r', 'or', 'tor', 'ctor']",NOUN,Southampton,PROPN,breaks,VERB,nsubj,breaks,O,0,0,0,0,0,0,0,director,O
0,xxxxxx,0,"['b', 'br', 'bre', 'brea']","['s', 'ks', 'aks', 'eaks']",VERB,director,NOUN,down,ADP,ROOT,breaks,O,0,0,0,0,0,0,0,breaks,O
0,xxxx,0,"['d', 'do', 'dow']","['n', 'wn', 'own']",ADP,breaks,VERB,Chelsea,PROPN,prt,breaks,O,0,0,0,0,0,0,0,down,O
1,Xxxxxxx,0,"['C', 'Ch', 'Che', 'Chel']","['a', 'ea', 'sea', 'lsea']",PROPN,down,ADP,&,CCONJ,poss,battle,B,0,1,0,0,0,0,0,Chelsea,B-Club
0,&,0,[],[],CCONJ,Chelsea,PROPN,Liverpool,PROPN,cc,Chelsea,I,0,1,0,0,0,0,0,&,O
1,Xxxxxxxxx,0,"['L', 'Li', 'Liv', 'Live']","['l', 'ol', 'ool', 'pool']",PROPN,&,CCONJ,'s,PART,conj,Chelsea,I,0,1,0,0,0,0,0,Liverpool,B-Club
0,'x,0,"[""'""]",['s'],PART,Liverpool,PROPN,battle,NOUN,case,Liverpool,I,0,0,0,0,0,0,0,'s,O
0,xxxxxx,0,"['b', 'ba', 'bat', 'batt']","['e', 'le', 'tle', 'ttle']",NOUN,'s,PART,for,ADP,dobj,breaks,O,0,0,0,0,0,0,0,battle,O
0,xxx,0,"['f', 'fo']","['r', 'or']",ADP,battle,NOUN,Romeo,PROPN,prep,battle,O,0,0,0,0,0,0,0,for,O
1,Xxxxx,0,"['R', 'Ro', 'Rom', 'Rome']","['o', 'eo', 'meo', 'omeo']",PROPN,for,ADP,Lavia,PROPN,compound,Lavia,B,0,0,0,0,0,0,0,Romeo,B-Player
1,Xxxxx,0,"['L', 'La', 'Lav', 'Lavi']","['a', 'ia', 'via', 'avia']",PROPN,Romeo,PROPN,,,pobj,for,I,0,0,0,0,0,0,0,Lavia,I-Player
1,Xxxxxx,0,"['N', 'Ne', 'Ney', 'Neym']","['r', 'ar', 'mar', 'ymar']",PROPN,,,completes,VERB,nsubj,completes,B,0,0,0,1,0,0,0,Neymar,B-Player
0,xxxxxxxxx,0,"['c', 'co', 'com', 'comp']","['s', 'es', 'tes', 'etes']",VERB,Neymar,PROPN,move,VERB,ROOT,completes,O,0,0,0,0,0,0,0,completes,O
0,xxxx,0,"['m', 'mo', 'mov']","['e', 've', 'ove']",VERB,completes,VERB,from,ADP,dobj,completes,O,0,0,0,0,0,0,0,move,O
0,xxxx,0,"['f', 'fr', 'fro']","['m', 'om', 'rom']",ADP,move,VERB,PSG,PROPN,prep,move,O,0,0,0,0,0,0,0,from,O
1,XXX,0,"['P', 'PS']","['G', 'SG']",PROPN,from,ADP,to,ADP,pobj,from,B,0,0,0,0,0,0,0,PSG,B-Club
0,xx,0,['t'],['o'],ADP,PSG,PROPN,Al,PROPN,prep,move,O,0,0,0,0,0,0,0,to,O
1,Xx,0,['A'],['l'],PROPN,to,ADP,Hilal,PROPN,compound,Hilal,B,0,0,0,0,0,0,0,Al,B-Club
1,Xxxxx,0,"['H', 'Hi', 'Hil', 'Hila']","['l', 'al', 'lal', 'ilal']",PROPN,Al,PROPN,,,pobj,to,I,0,0,0,0,0,0,0,Hilal,I-Club
1,Xxx,0,"['H', 'Ho']","['w', 'ow']",SCONJ,,,Moises,PROPN,advmod,compares,O,0,0,0,0,0,0,0,How,O
1,Xxxxxx,0,"['M', 'Mo', 'Moi', 'Mois']","['s', 'es', 'ses', 'ises']",PROPN,How,SCONJ,Caicedo,PROPN,compound,Caicedo,B,0,0,0,0,0,0,0,Moises,B-Player
1,Xxxxxxx,0,"['C', 'Ca', 'Cai', 'Caic']","['o', 'do', 'edo', 'cedo']",PROPN,Moises,PROPN,fee,NOUN,compound,fee,I,0,0,0,1,0,0,0,Caicedo,I-Player
0,xxx,0,"['f', 'fe']","['e', 'ee']",NOUN,Caicedo,PROPN,compares,VERB,nsubj,compares,O,0,0,0,0,0,0,0,fee,O
0,xxxxxxxx,0,"['c', 'co', 'com', 'comp']","['s', 'es', 'res', 'ares']",VERB,fee,NOUN,to,ADP,ROOT,compares,O,0,0,0,0,0,0,0,compares,O
0,xx,0,['t'],['o'],ADP,compares,VERB,most,ADV,prep,compares,O,0,0,0,0,0,0,0,to,O
0,xxxx,0,"['m', 'mo', 'mos']","['t', 'st', 'ost']",ADV,to,ADP,expensive,ADJ,advmod,expensive,O,0,0,0,0,0,0,0,most,O
0,xxxxxxxxx,0,"['e', 'ex', 'exp', 'expe']","['e', 've', 'ive', 'sive']",ADJ,most,ADV,signings,NOUN,amod,signings,O,0,0,0,0,0,0,0,expensive,O
0,xxxxxxxx,0,"['s', 'si', 'sig', 'sign']","['s', 'gs', 'ngs', 'ings']",NOUN,expensive,ADJ,in,ADP,pobj,to,O,0,0,0,0,0,0,0,signings,O
0,xx,0,['i'],['n'],ADP,signings,NOUN,football,NOUN,prep,signings,O,0,0,0,0,0,0,0,in,O
0,xxxxxxxx,0,"['f', 'fo', 'foo', 'foot']","['l', 'll', 'all', 'ball']",NOUN,in,ADP,history,NOUN,compound,history,O,0,0,0,0,0,0,0,football,O
0,xxxxxxx,0,"['h', 'hi', 'his', 'hist']","['y', 'ry', 'ory', 'tory']",NOUN,football,NOUN,,,pobj,in,O,0,0,0,0,0,0,0,history,O
1,Xxxxxxx,0,"['C', 'Ch', 'Che', 'Chel']","['a', 'ea', 'sea', 'lsea']",NOUN,,,closing,VERB,nsubj,closing,O,0,1,0,0,0,0,0,Chelsea,B-Club
0,xxxxxxx,0,"['c', 'cl', 'clo', 'clos']","['g', 'ng', 'ing', 'sing']",VERB,Chelsea,NOUN,in,ADP,ROOT,closing,O,0,0,0,0,0,0,0,closing,O
0,xx,0,['i'],['n'],ADP,closing,VERB,on,ADP,prt,closing,O,0,0,0,0,0,0,0,in,O
0,xx,0,['o'],['n'],ADP,in,ADP,Michael,PROPN,prep,closing,O,0,0,0,0,0,0,0,on,O
1,Xxxxxxx,0,"['M', 'Mi', 'Mic', 'Mich']","['l', 'el', 'ael', 'hael']",PROPN,on,ADP,Olise,PROPN,compound,Olise,B,0,0,0,1,0,0,0,Michael,B-Player
1,Xxxxx,0,"['O', 'Ol', 'Oli', 'Olis']","['e', 'se', 'ise', 'lise']",PROPN,Michael,PROPN,signing,NOUN,compound,signing,I,0,0,0,1,0,0,0,Olise,I-Player
0,xxxxxxx,0,"['s', 'si', 'sig', 'sign']","['g', 'ng', 'ing', 'ning']",NOUN,Olise,PROPN,,,pobj,on,O,0,0,0,0,0,0,0,signing,O
1,Xxxxxxx,0,"['C', 'Ch', 'Che', 'Chel']","['a', 'ea', 'sea', 'lsea']",NOUN,,,midfielder,NOUN,compound,midfielder,O,0,1,0,0,0,0,0,Chelsea,B-Club
0,xxxxxxxxxx,0,"['m', 'mi', 'mid', 'midf']","['r', 'er', 'der', 'lder']",NOUN,Chelsea,NOUN,seals,NOUN,compound,seals,O,0,0,0,0,0,0,0,midfielder,O
0,xxxxx,0,"['s', 'se', 'sea', 'seal']","['s', 'ls', 'als', 'eals']",NOUN,midfielder,NOUN,loan,NOUN,compound,exit,O,0,0,0,0,0,0,0,seals,O
0,xxxx,0,"['l', 'lo', 'loa']","['n', 'an', 'oan']",NOUN,seals,NOUN,exit,NOUN,compound,exit,O,0,0,0,0,0,0,0,loan,O
0,xxxx,0,"['e', 'ex', 'exi']","['t', 'it', 'xit']",NOUN,loan,NOUN,,,ROOT,exit,O,0,0,0,0,0,0,0,exit,O
1,Xxxxxx,0,"['M', 'Mo', 'Moi', 'Mois']","['s', 'es', 'ses', 'ises']",PROPN,,,Caicedo,PROPN,compound,Caicedo,B,0,0,0,0,0,0,0,Moises,B-Player
1,Xxxxxxx,0,"['C', 'Ca', 'Cai', 'Caic']","['o', 'do', 'edo', 'cedo']",PROPN,Moises,PROPN,:,PUNCT,npadvmod,admits,I,0,0,0,1,0,0,0,Caicedo,I-Player
0,:,0,[],[],PUNCT,Caicedo,PROPN,Brighton,PROPN,punct,Caicedo,O,0,0,0,0,0,0,0,:,O
1,Xxxxxxxx,0,"['B', 'Br', 'Bri', 'Brig']","['n', 'on', 'ton', 'hton']",PROPN,:,PUNCT,CEO,PROPN,compound,CEO,B,0,1,0,0,0,0,0,Brighton,B-Club
1,XXX,0,"['C', 'CE']","['O', 'EO']",PROPN,Brighton,PROPN,admits,VERB,nsubj,admits,O,0,0,0,0,0,0,0,CEO,O
0,xxxxxx,0,"['a', 'ad', 'adm', 'admi']","['s', 'ts', 'its', 'mits']",VERB,CEO,PROPN,surprise,NOUN,ROOT,admits,O,0,0,0,0,0,0,0,admits,O
0,xxxxxxxx,0,"['s', 'su', 'sur', 'surp']","['e', 'se', 'ise', 'rise']",NOUN,admits,VERB,at,ADP,dobj,admits,O,0,0,0,0,0,0,0,surprise,O
0,xx,0,['a'],['t'],ADP,surprise,NOUN,Liverpool,PROPN,prep,admits,O,0,0,0,0,0,0,0,at,O
1,Xxxxxxxxx,0,"['L', 'Li', 'Liv', 'Live']","['l', 'ol', 'ool', 'pool']",PROPN,at,ADP,snub,NOUN,compound,snub,B,0,1,0,0,0,0,0,Liverpool,B-Club
0,xxxx,0,"['s', 'sn', 'snu']","['b', 'ub', 'nub']",NOUN,Liverpool,PROPN,,,pobj,at,O,0,0,0,0,0,0,0,snub,O
1,Xxxx,0,"['K', 'Ke', 'Kep']","['a', 'pa', 'epa']",PROPN,,,Arrizabalaga,PROPN,compound,Arrizabalaga,B,0,0,0,1,0,0,0,Kepa,B-Player
1,Xxxxxxxxxxxx,0,"['A', 'Ar', 'Arr', 'Arri']","['a', 'ga', 'aga', 'laga']",PROPN,Kepa,PROPN,reveals,VERB,nsubj,reveals,I,0,0,0,1,0,0,0,Arrizabalaga,I-Player
0,xxxxxxx,0,"['r', 're', 'rev', 'reve']","['s', 'ls', 'als', 'eals']",VERB,Arrizabalaga,PROPN,desire,NOUN,ROOT,reveals,O,0,0,0,0,0,0,0,reveals,O
0,xxxxxx,0,"['d', 'de', 'des', 'desi']","['e', 're', 'ire', 'sire']",NOUN,reveals,VERB,to,PART,dobj,reveals,O,0,0,0,0,0,0,0,desire,O
0,xx,0,['t'],['o'],PART,desire,NOUN,seal,VERB,aux,seal,O,0,0,0,0,0,0,0,to,O
0,xxxx,0,"['s', 'se', 'sea']","['l', 'al', 'eal']",VERB,to,PART,permanent,ADJ,acl,desire,O,0,0,0,0,0,0,0,seal,O
0,xxxxxxxxx,0,"['p', 'pe', 'per', 'perm']","['t', 'nt', 'ent', 'nent']",ADJ,seal,VERB,Real,PROPN,amod,transfer,O,0,0,0,0,0,0,0,permanent,O
1,Xxxx,0,"['R', 'Re', 'Rea']","['l', 'al', 'eal']",PROPN,permanent,ADJ,Madrid,PROPN,compound,Madrid,B,0,1,0,0,0,0,0,Real,B-Club
1,Xxxxxx,0,"['M', 'Ma', 'Mad', 'Madr']","['d', 'id', 'rid', 'drid']",PROPN,Real,PROPN,transfer,NOUN,compound,transfer,I,0,1,0,0,0,0,0,Madrid,I-Club
0,xxxxxxxx,0,"['t', 'tr', 'tra', 'tran']","['r', 'er', 'fer', 'sfer']",NOUN,Madrid,PROPN,,,dobj,seal,O,0,0,0,0,0,0,0,transfer,O
1,Xxxxxxx,0,"['A', 'Ar', 'Ars', 'Arse']","['l', 'al', 'nal', 'enal']",NOUN,,,confirm,VERB,nsubj,confirm,O,0,1,0,0,0,0,0,Arsenal,B-Club
0,xxxxxxx,0,"['c', 'co', 'con', 'conf']","['m', 'rm', 'irm', 'firm']",VERB,Arsenal,NOUN,signing,NOUN,ROOT,confirm,O,0,0,0,0,0,0,0,confirm,O
0,xxxxxxx,0,"['s', 'si', 'sig', 'sign']","['g', 'ng', 'ing', 'ning']",NOUN,confirm,VERB,of,ADP,dobj,confirm,O,0,0,0,0,0,0,0,signing,O
0,xx,0,['o'],['f'],ADP,signing,NOUN,David,PROPN,prep,signing,O,0,0,0,0,0,1,0,of,O
1,Xxxxx,0,"['D', 'Da', 'Dav', 'Davi']","['d', 'id', 'vid', 'avid']",PROPN,of,ADP,Raya,PROPN,compound,Raya,B,0,0,0,1,1,0,0,David,B-Player
1,Xxxx,0,"['R', 'Ra', 'Ray']","['a', 'ya', 'aya']",PROPN,David,PROPN,on,ADP,pobj,of,I,0,0,0,0,0,0,0,Raya,I-Player
0,xx,0,['o'],['n'],ADP,Raya,PROPN,loan,NOUN,prep,signing,O,0,0,0,0,0,0,0,on,O
0,xxxx,0,"['l', 'lo', 'loa']","['n', 'an', 'oan']",NOUN,on,ADP,from,ADP,pobj,on,O,0,0,0,0,0,0,0,loan,O
0,xxxx,0,"['f', 'fr', 'fro']","['m', 'om', 'rom']",ADP,loan,NOUN,Brentford,PROPN,prep,loan,O,0,0,0,0,0,0,0,from,O
1,Xxxxxxxxx,0,"['B', 'Br', 'Bre', 'Bren']","['d', 'rd', 'ord', 'ford']",PROPN,from,ADP,,,pobj,from,B,0,0,0,0,0,0,0,Brentford,B-Club
1,Xxxxx,0,"['E', 'Ev', 'Eve', 'Ever']","['y', 'ry', 'ery', 'very']",DET,,,time,NOUN,det,time,O,0,0,0,0,0,0,0,Every,O
0,xxxx,0,"['t', 'ti', 'tim']","['e', 'me', 'ime']",NOUN,Every,DET,British,ADJ,ROOT,time,O,0,0,0,0,0,0,0,time,O
1,Xxxxxxx,0,"['B', 'Br', 'Bri', 'Brit']","['h', 'sh', 'ish', 'tish']",ADJ,time,NOUN,transfer,NOUN,amod,transfer,B,0,0,0,0,0,0,0,British,B-Nation
0,xxxxxxxx,0,"['t', 'tr', 'tra', 'tran']","['r', 'er', 'fer', 'sfer']",NOUN,British,ADJ,record,NOUN,compound,record,O,0,0,0,0,0,0,0,transfer,O
0,xxxxxx,0,"['r', 're', 'rec', 'reco']","['d', 'rd', 'ord', 'cord']",NOUN,transfer,NOUN,broken,VERB,appos,time,O,0,0,0,0,0,0,0,record,O
0,xxxxxx,0,"['b', 'br', 'bro', 'brok']","['n', 'en', 'ken', 'oken']",VERB,record,NOUN,in,ADP,acl,record,O,0,0,0,0,0,0,0,broken,O
0,xx,0,['i'],['n'],ADP,broken,VERB,Premier,PROPN,prep,broken,O,0,0,0,0,0,0,0,in,O
1,Xxxxxxx,0,"['P', 'Pr', 'Pre', 'Prem']","['r', 'er', 'ier', 'mier']",PROPN,in,ADP,League,PROPN,compound,League,O,1,0,0,0,0,0,0,Premier,B-League
1,Xxxxxx,0,"['L', 'Le', 'Lea', 'Leag']","['e', 'ue', 'gue', 'ague']",PROPN,Premier,PROPN,era,NOUN,compound,era,O,1,0,0,0,0,0,0,League,I-League
0,xxx,0,"['e', 'er']","['a', 'ra']",NOUN,League,PROPN,,,pobj,in,O,0,0,0,0,0,0,0,era,O
1,Xxxxx,0,"['A', 'As', 'Ast', 'Asto']","['n', 'on', 'ton', 'ston']",PROPN,,,Villa,PROPN,compound,Villa,B,0,1,0,0,0,0,0,Aston,B-Club
1,Xxxxx,0,"['V', 'Vi', 'Vil', 'Vill']","['a', 'la', 'lla', 'illa']",PROPN,Aston,PROPN,close,ADJ,ROOT,Villa,I,0,1,1,0,0,0,0,Villa,I-Club
0,xxxxx,0,"['c', 'cl', 'clo', 'clos']","['e', 'se', 'ose', 'lose']",ADJ,Villa,PROPN,to,ADP,amod,Villa,O,0,0,0,0,0,0,0,close,O
0,xx,0,['t'],['o'],ADP,close,ADJ,finalising,VERB,prep,close,O,0,0,0,0,0,0,0,to,O
0,xxxxxxxxxx,0,"['f', 'fi', 'fin', 'fina']","['g', 'ng', 'ing', 'sing']",VERB,to,ADP,Nicolo,PROPN,pcomp,to,O,0,0,0,0,0,0,0,finalising,O
1,Xxxxxx,0,"['N', 'Ni', 'Nic', 'Nico']","['o', 'lo', 'olo', 'colo']",PROPN,finalising,VERB,Zaniolo,PROPN,compound,Zaniolo,B,0,0,0,1,0,0,0,Nicolo,B-Player
1,Xxxxxxx,0,"['Z', 'Za', 'Zan', 'Zani']","['o', 'lo', 'olo', 'iolo']",PROPN,Nicolo,PROPN,deal,NOUN,compound,deal,I,0,0,0,1,0,0,0,Zaniolo,I-Player
0,xxxx,0,"['d', 'de', 'dea']","['l', 'al', 'eal']",NOUN,Zaniolo,PROPN,,,dobj,finalising,O,0,0,0,0,0,0,0,deal,O
1,Xxx,0,"['M', 'Ma']","['n', 'an']",PROPN,,,Utd,PROPN,compound,Utd,O,0,0,0,0,0,0,0,Man,B-Club
1,Xxx,0,"['U', 'Ut']","['d', 'td']",PROPN,Man,PROPN,learn,VERB,nsubj,learn,O,0,0,0,0,0,0,0,Utd,I-Club
0,xxxxx,0,"['l', 'le', 'lea', 'lear']","['n', 'rn', 'arn', 'earn']",VERB,Utd,PROPN,new,ADJ,ROOT,learn,O,0,0,0,0,0,0,0,learn,O
0,xxx,0,"['n', 'ne']","['w', 'ew']",ADJ,learn,VERB,Bayern,PROPN,amod,Munich,O,0,0,0,0,0,0,0,new,O
1,Xxxxxx,0,"['B', 'Ba', 'Bay', 'Baye']","['n', 'rn', 'ern', 'yern']",PROPN,new,ADJ,Munich,PROPN,compound,Munich,B,0,1,0,0,0,0,0,Bayern,B-Club
1,Xxxxxx,0,"['M', 'Mu', 'Mun', 'Muni']","['h', 'ch', 'ich', 'nich']",PROPN,Bayern,PROPN,asking,VERB,dobj,learn,I,0,1,0,0,0,0,0,Munich,I-Club
0,xxxxxx,0,"['a', 'as', 'ask', 'aski']","['g', 'ng', 'ing', 'king']",VERB,Munich,PROPN,price,NOUN,acl,Munich,O,0,0,0,0,0,0,0,asking,O
0,xxxxx,0,"['p', 'pr', 'pri', 'pric']","['e', 'ce', 'ice', 'rice']",NOUN,asking,VERB,for,ADP,dobj,asking,O,0,0,0,0,0,0,0,price,O
0,xxx,0,"['f', 'fo']","['r', 'or']",ADP,price,NOUN,Benjamin,PROPN,prep,price,O,0,0,0,0,0,0,0,for,O
1,Xxxxxxxx,0,"['B', 'Be', 'Ben', 'Benj']","['n', 'in', 'min', 'amin']",PROPN,for,ADP,Pavard,PROPN,compound,Pavard,B,0,0,0,1,0,0,0,Benjamin,B-Player
1,Xxxxxx,0,"['P', 'Pa', 'Pav', 'Pava']","['d', 'rd', 'ard', 'vard']",PROPN,Benjamin,PROPN,,,pobj,for,I,0,0,0,1,0,0,0,Pavard,I-Player
1,Xxxxxx,0,"['N', 'Ne', 'Ney', 'Neym']","['r', 'ar', 'mar', 'ymar']",PROPN,,,picks,VERB,nsubj,picks,B,0,0,0,1,0,0,0,Neymar,B-Player
0,xxxxx,0,"['p', 'pi', 'pic', 'pick']","['s', 'ks', 'cks', 'icks']",VERB,Neymar,PROPN,Al,PROPN,ROOT,picks,O,0,0,0,0,0,0,0,picks,O
1,Xx,0,['A'],['l'],PROPN,picks,VERB,Hilal,PROPN,compound,Hilal,B,0,0,0,0,0,0,0,Al,B-Club
1,Xxxxx,0,"['H', 'Hi', 'Hil', 'Hila']","['l', 'al', 'lal', 'ilal']",PROPN,Al,PROPN,shirt,NOUN,compound,number,I,0,0,0,0,0,0,0,Hilal,I-Club
0,xxxxx,0,"['s', 'sh', 'shi', 'shir']","['t', 'rt', 'irt', 'hirt']",NOUN,Hilal,PROPN,number,NOUN,compound,number,O,0,0,0,0,0,0,0,shirt,O
0,xxxxxx,0,"['n', 'nu', 'num', 'numb']","['r', 'er', 'ber', 'mber']",NOUN,shirt,NOUN,ahead,ADV,dobj,picks,O,0,0,0,0,0,0,0,number,O
0,xxxxx,0,"['a', 'ah', 'ahe', 'ahea']","['d', 'ad', 'ead', 'head']",ADV,number,NOUN,of,ADP,advmod,number,O,0,0,0,0,0,0,0,ahead,O
0,xx,0,['o'],['f'],ADP,ahead,ADV,transfer,NOUN,prep,ahead,O,0,0,0,0,0,1,0,of,O
0,xxxxxxxx,0,"['t', 'tr', 'tra', 'tran']","['r', 'er', 'fer', 'sfer']",NOUN,of,ADP,confirmation,NOUN,compound,confirmation,O,0,0,0,0,0,0,0,transfer,O
0,xxxxxxxxxxxx,0,"['c', 'co', 'con', 'conf']","['n', 'on', 'ion', 'tion']",NOUN,transfer,NOUN,,,pobj,of,O,0,0,0,0,0,0,0,confirmation,O
1,Xxxx,0,"['E', 'Er', 'Eri']","['c', 'ic', 'ric']",PROPN,,,Dier,PROPN,compound,Dier,B,0,0,0,1,0,0,0,Eric,B-Player
1,Xxxx,0,"['D', 'Di', 'Die']","['r', 'er', 'ier']",PROPN,Eric,PROPN,wanted,VERB,nsubj,wanted,I,0,0,0,1,0,0,0,Dier,I-Player
0,xxxxxx,0,"['w', 'wa', 'wan', 'want']","['d', 'ed', 'ted', 'nted']",VERB,Dier,PROPN,by,ADP,ROOT,wanted,O,0,0,0,0,0,0,0,wanted,O
0,xx,0,['b'],['y'],ADP,wanted,VERB,clubs,NOUN,agent,wanted,O,0,0,0,0,0,0,0,by,O
0,xxxxx,0,"['c', 'cl', 'clu', 'club']","['s', 'bs', 'ubs', 'lubs']",NOUN,by,ADP,across,ADP,pobj,by,O,0,0,0,0,0,0,0,clubs,O
0,xxxxxx,0,"['a', 'ac', 'acr', 'acro']","['s', 'ss', 'oss', 'ross']",ADP,clubs,NOUN,Europe,PROPN,prep,clubs,O,0,0,0,0,0,0,0,across,O
